Count,Metrics,Mean,STD,95% CI
14,sensitivity,0.844,0.193,0.699-0.990
14,specificity,0.881,0.084,0.818-0.944
14,threat_score,0.666,0.166,0.541-0.791
15,F1_score,0.787,0.128,0.690-0.883
15,accuracy,0.816,0.130,0.718-0.914
15,balanced_accuracy,0.857,0.096,0.785-0.930
15,fall_out,0.116,0.083,0.053-0.179
15,false_discovery_rate,0.190,0.170,0.062-0.318
15,false_ommission_rate,0.180,0.248,-0.007-0.367
15,miss_rate,0.169,0.201,0.018-0.321
15,negative_predictive_value,0.820,0.248,0.633-1.007
15,odds_ratio,inf,nan,nan-nan
15,precision,0.810,0.170,0.682-0.938
15,sensitivity,0.831,0.201,0.679-0.982
15,specificity,0.884,0.083,0.821-0.947
15,threat_score,0.667,0.174,0.536-0.798
16,F1_score,0.788,0.126,0.692-0.883
16,accuracy,0.820,0.129,0.722-0.918
16,balanced_accuracy,0.862,0.093,0.792-0.932
16,fall_out,0.120,0.085,0.055-0.184
16,false_discovery_rate,0.200,0.173,0.069-0.331
16,false_ommission_rate,0.167,0.246,-0.019-0.352
16,miss_rate,0.157,0.195,0.009-0.304
16,negative_predictive_value,0.833,0.246,0.648-1.019
16,odds_ratio,inf,nan,nan-nan
16,precision,0.800,0.173,0.669-0.931
16,sensitivity,0.843,0.195,0.696-0.991
16,specificity,0.880,0.085,0.816-0.945
16,threat_score,0.667,0.171,0.539-0.796
17,F1_score,0.776,0.130,0.678-0.873
17,accuracy,0.808,0.136,0.705-0.911
17,balanced_accuracy,0.844,0.112,0.759-0.928
17,fall_out,0.141,0.077,0.083-0.199
17,false_discovery_rate,0.210,0.164,0.086-0.334
17,false_ommission_rate,0.180,0.248,-0.007-0.367
17,miss_rate,0.172,0.205,0.017-0.327
17,negative_predictive_value,0.820,0.248,0.633-1.007
17,odds_ratio,inf,nan,nan-nan
17,precision,0.790,0.164,0.666-0.914
17,sensitivity,0.828,0.205,0.673-0.983
17,specificity,0.859,0.077,0.801-0.917
17,threat_score,0.652,0.174,0.521-0.783
18,F1_score,0.812,0.108,0.730-0.894
18,accuracy,0.832,0.130,0.734-0.930
18,balanced_accuracy,0.868,0.095,0.797-0.940
18,fall_out,0.107,0.070,0.054-0.160
18,false_discovery_rate,0.170,0.127,0.074-0.266
18,false_ommission_rate,0.167,0.246,-0.019-0.352
18,miss_rate,0.157,0.195,0.009-0.304
18,negative_predictive_value,0.833,0.246,0.648-1.019
18,odds_ratio,inf,nan,nan-nan
18,precision,0.830,0.127,0.734-0.926
18,sensitivity,0.843,0.195,0.696-0.991
18,specificity,0.893,0.070,0.840-0.946
18,threat_score,0.697,0.152,0.582-0.812
19,F1_score,0.797,0.113,0.712-0.882
19,accuracy,0.824,0.128,0.727-0.921
19,balanced_accuracy,0.864,0.093,0.794-0.934
19,fall_out,0.116,0.079,0.057-0.175
19,false_discovery_rate,0.190,0.151,0.076-0.304
19,false_ommission_rate,0.167,0.246,-0.019-0.352
19,miss_rate,0.157,0.195,0.009-0.304
19,negative_predictive_value,0.833,0.246,0.648-1.019
19,odds_ratio,inf,nan,nan-nan
19,precision,0.810,0.151,0.696-0.924
19,sensitivity,0.843,0.195,0.696-0.991
19,specificity,0.884,0.079,0.825-0.943
19,threat_score,0.677,0.157,0.559-0.796
20,F1_score,0.783,0.106,0.703-0.863
20,accuracy,0.816,0.127,0.720-0.912
20,balanced_accuracy,0.857,0.097,0.784-0.930
20,fall_out,0.135,0.082,0.073-0.197
20,false_discovery_rate,0.220,0.147,0.109-0.331
20,false_ommission_rate,0.160,0.246,-0.026-0.346
20,miss_rate,0.152,0.196,0.004-0.300
20,negative_predictive_value,0.840,0.246,0.654-1.026
20,odds_ratio,inf,nan,nan-nan
20,precision,0.780,0.147,0.669-0.891
20,sensitivity,0.848,0.196,0.700-0.996
20,specificity,0.865,0.082,0.803-0.927
20,threat_score,0.656,0.144,0.548-0.765
