Count,Metrics,Mean,STD,95% CI
12,specificity,0.624,0.080,0.563-0.685
12,threat_score,0.778,0.043,0.746-0.810
13,F1_score,0.873,0.019,0.859-0.888
13,accuracy,0.810,0.029,0.788-0.832
13,balanced_accuracy,0.747,0.038,0.718-0.775
13,fall_out,0.380,0.057,0.337-0.423
13,false_discovery_rate,0.127,0.019,0.112-0.141
13,false_ommission_rate,0.380,0.057,0.337-0.423
13,miss_rate,0.127,0.019,0.112-0.141
13,negative_predictive_value,0.620,0.057,0.577-0.663
13,odds_ratio,12.602,5.690,8.311-16.892
13,precision,0.873,0.019,0.859-0.888
13,sensitivity,0.873,0.019,0.859-0.888
13,specificity,0.620,0.057,0.577-0.663
13,threat_score,0.776,0.030,0.753-0.798
14,F1_score,0.879,0.037,0.850-0.907
14,accuracy,0.818,0.056,0.776-0.860
14,balanced_accuracy,0.757,0.075,0.701-0.814
14,fall_out,0.364,0.112,0.279-0.449
14,false_discovery_rate,0.121,0.037,0.093-0.150
14,false_ommission_rate,0.364,0.112,0.279-0.449
14,miss_rate,0.121,0.037,0.093-0.150
14,negative_predictive_value,0.636,0.112,0.551-0.721
14,odds_ratio,19.343,15.778,7.445-31.241
14,precision,0.879,0.037,0.850-0.907
14,sensitivity,0.879,0.037,0.850-0.907
14,specificity,0.636,0.112,0.551-0.721
14,threat_score,0.786,0.059,0.741-0.830
15,F1_score,0.872,0.019,0.858-0.886
15,accuracy,0.808,0.029,0.786-0.830
15,balanced_accuracy,0.744,0.038,0.715-0.773
15,fall_out,0.384,0.057,0.341-0.427
15,false_discovery_rate,0.128,0.019,0.114-0.142
15,false_ommission_rate,0.384,0.057,0.341-0.427
15,miss_rate,0.128,0.019,0.114-0.142
15,negative_predictive_value,0.616,0.057,0.573-0.659
15,odds_ratio,12.273,5.750,7.937-16.609
15,precision,0.872,0.019,0.858-0.886
15,sensitivity,0.872,0.019,0.858-0.886
15,specificity,0.616,0.057,0.573-0.659
15,threat_score,0.774,0.030,0.751-0.796
16,F1_score,0.869,0.025,0.850-0.888
16,accuracy,0.804,0.038,0.776-0.832
16,balanced_accuracy,0.739,0.050,0.701-0.777
16,fall_out,0.392,0.075,0.335-0.449
16,false_discovery_rate,0.131,0.025,0.112-0.150
16,false_ommission_rate,0.392,0.075,0.335-0.449
16,miss_rate,0.131,0.025,0.112-0.150
16,negative_predictive_value,0.608,0.075,0.551-0.665
16,odds_ratio,12.277,6.469,7.399-17.155
16,precision,0.869,0.025,0.850-0.888
16,sensitivity,0.869,0.025,0.850-0.888
16,specificity,0.608,0.075,0.551-0.665
16,threat_score,0.770,0.039,0.740-0.799
17,F1_score,0.865,0.022,0.849-0.882
17,accuracy,0.798,0.033,0.773-0.823
17,balanced_accuracy,0.731,0.044,0.698-0.764
17,fall_out,0.404,0.066,0.355-0.453
17,false_discovery_rate,0.135,0.022,0.118-0.151
17,false_ommission_rate,0.404,0.066,0.355-0.453
17,miss_rate,0.135,0.022,0.118-0.151
17,negative_predictive_value,0.596,0.066,0.547-0.645
17,odds_ratio,10.754,4.902,7.058-14.450
17,precision,0.865,0.022,0.849-0.882
17,sensitivity,0.865,0.022,0.849-0.882
17,specificity,0.596,0.066,0.547-0.645
17,threat_score,0.763,0.034,0.738-0.789
18,F1_score,0.871,0.026,0.851-0.890
18,accuracy,0.806,0.039,0.777-0.835
18,balanced_accuracy,0.741,0.052,0.702-0.781
18,fall_out,0.388,0.078,0.329-0.447
18,false_discovery_rate,0.129,0.026,0.110-0.149
18,false_ommission_rate,0.388,0.078,0.329-0.447
18,miss_rate,0.129,0.026,0.110-0.149
18,negative_predictive_value,0.612,0.078,0.553-0.671
18,odds_ratio,12.848,7.144,7.461-18.235
18,precision,0.871,0.026,0.851-0.890
18,sensitivity,0.871,0.026,0.851-0.890
18,specificity,0.612,0.078,0.553-0.671
18,threat_score,0.772,0.041,0.741-0.803
19,F1_score,0.864,0.027,0.844-0.884
19,accuracy,0.796,0.040,0.766-0.826
19,balanced_accuracy,0.728,0.053,0.688-0.768
19,fall_out,0.408,0.080,0.348-0.468
19,false_discovery_rate,0.136,0.027,0.116-0.156
19,false_ommission_rate,0.408,0.080,0.348-0.468
19,miss_rate,0.136,0.027,0.116-0.156
19,negative_predictive_value,0.592,0.080,0.532-0.652
19,odds_ratio,11.024,5.723,6.709-15.339
19,precision,0.864,0.027,0.844-0.884
19,sensitivity,0.864,0.027,0.844-0.884
19,specificity,0.592,0.080,0.532-0.652
19,threat_score,0.762,0.041,0.731-0.792
20,F1_score,0.864,0.028,0.843-0.885
20,accuracy,0.796,0.043,0.764-0.828
20,balanced_accuracy,0.728,0.057,0.685-0.771
20,fall_out,0.408,0.085,0.344-0.472
20,false_discovery_rate,0.136,0.028,0.115-0.157
20,false_ommission_rate,0.408,0.085,0.344-0.472
20,miss_rate,0.136,0.028,0.115-0.157
20,negative_predictive_value,0.592,0.085,0.528-0.656
20,odds_ratio,11.340,6.573,6.383-16.297
20,precision,0.864,0.028,0.843-0.885
20,sensitivity,0.864,0.028,0.843-0.885
20,specificity,0.592,0.085,0.528-0.656
20,threat_score,0.762,0.044,0.729-0.795
