Count,Metrics,Mean,STD,95% CI
14,specificity,0.776,0.090,0.708-0.844
14,threat_score,0.801,0.072,0.747-0.856
15,F1_score,0.886,0.044,0.853-0.919
15,accuracy,0.848,0.058,0.804-0.892
15,balanced_accuracy,0.829,0.066,0.779-0.879
15,fall_out,0.228,0.088,0.162-0.294
15,false_discovery_rate,0.114,0.044,0.081-0.147
15,false_ommission_rate,0.228,0.088,0.162-0.294
15,miss_rate,0.114,0.044,0.081-0.147
15,negative_predictive_value,0.772,0.088,0.706-0.838
15,odds_ratio,57.829,78.301,-1.215-116.872
15,precision,0.886,0.044,0.853-0.919
15,sensitivity,0.886,0.044,0.853-0.919
15,specificity,0.772,0.088,0.706-0.838
15,threat_score,0.798,0.070,0.745-0.851
16,F1_score,0.886,0.046,0.852-0.920
16,accuracy,0.848,0.061,0.802-0.894
16,balanced_accuracy,0.829,0.068,0.777-0.881
16,fall_out,0.228,0.091,0.159-0.297
16,false_discovery_rate,0.114,0.046,0.080-0.148
16,false_ommission_rate,0.228,0.091,0.159-0.297
16,miss_rate,0.114,0.046,0.080-0.148
16,negative_predictive_value,0.772,0.091,0.703-0.841
16,odds_ratio,59.523,78.346,0.446-118.600
16,precision,0.886,0.046,0.852-0.920
16,sensitivity,0.886,0.046,0.852-0.920
16,specificity,0.772,0.091,0.703-0.841
16,threat_score,0.798,0.073,0.743-0.854
17,F1_score,0.888,0.050,0.850-0.926
17,accuracy,0.851,0.067,0.800-0.901
17,balanced_accuracy,0.832,0.075,0.775-0.889
17,fall_out,0.224,0.100,0.149-0.299
17,false_discovery_rate,0.112,0.050,0.074-0.150
17,false_ommission_rate,0.224,0.100,0.149-0.299
17,miss_rate,0.112,0.050,0.074-0.150
17,negative_predictive_value,0.776,0.100,0.701-0.851
17,odds_ratio,149.802,343.419,-109.154-408.758
17,precision,0.888,0.050,0.850-0.926
17,sensitivity,0.888,0.050,0.850-0.926
17,specificity,0.776,0.100,0.701-0.851
17,threat_score,0.802,0.081,0.741-0.864
18,F1_score,0.888,0.047,0.852-0.924
18,accuracy,0.851,0.063,0.803-0.898
18,balanced_accuracy,0.832,0.071,0.778-0.886
18,fall_out,0.224,0.095,0.152-0.296
18,false_discovery_rate,0.112,0.047,0.076-0.148
18,false_ommission_rate,0.224,0.095,0.152-0.296
18,miss_rate,0.112,0.047,0.076-0.148
18,negative_predictive_value,0.776,0.095,0.704-0.848
18,odds_ratio,149.269,343.614,-109.833-408.372
18,precision,0.888,0.047,0.852-0.924
18,sensitivity,0.888,0.047,0.852-0.924
18,specificity,0.776,0.095,0.704-0.848
18,threat_score,0.802,0.078,0.743-0.861
19,F1_score,0.884,0.048,0.848-0.920
19,accuracy,0.845,0.064,0.797-0.894
19,balanced_accuracy,0.826,0.072,0.772-0.880
19,fall_out,0.232,0.096,0.160-0.304
19,false_discovery_rate,0.116,0.048,0.080-0.152
19,false_ommission_rate,0.232,0.096,0.160-0.304
19,miss_rate,0.116,0.048,0.080-0.152
19,negative_predictive_value,0.768,0.096,0.696-0.840
19,odds_ratio,59.218,78.540,-0.006-118.441
19,precision,0.884,0.048,0.848-0.920
19,sensitivity,0.884,0.048,0.848-0.920
19,specificity,0.768,0.096,0.696-0.840
19,threat_score,0.795,0.077,0.737-0.853
20,F1_score,0.880,0.050,0.842-0.918
20,accuracy,0.840,0.066,0.790-0.890
20,balanced_accuracy,0.820,0.075,0.764-0.876
20,fall_out,0.240,0.100,0.165-0.315
20,false_discovery_rate,0.120,0.050,0.082-0.158
20,false_ommission_rate,0.240,0.100,0.165-0.315
20,miss_rate,0.120,0.050,0.082-0.158
20,negative_predictive_value,0.760,0.100,0.685-0.835
20,odds_ratio,56.473,79.012,-3.106-116.053
20,precision,0.880,0.050,0.842-0.918
20,sensitivity,0.880,0.050,0.842-0.918
20,specificity,0.760,0.100,0.685-0.835
20,threat_score,0.789,0.079,0.730-0.849
